Topics,Year,Start date,End date,Location,Category type,Category,Form,N part,N Female,1,2,3,4,5,6,NA,"total
 (Rel)",%Rel,1,2,3,4,5,6,NA,total (Impr),%Impr,,,,
Compiling climate change indicators: an accounting approach,2023,1/16/2023,2/24/2023,-,E-learn,Envi,EL,292,163,18,4,13,29,106,123,,293,78%,16,3,6,35,114,119,,293,80%,,,,
National Training: Producing and Using Gender Statistics to Monitor the SDGs and Implement the Pacific Roadmap in Tonga,2023,1/23/2023,1/27/2023,Tonga,Country,Country,F,36,26,0,0,0,2,8,12,,22,91%,0,0,0,1,10,11,,22,95%,,,,
Webinar on 2008 SNA Implementation,2023,2/22/2023,2/23/2023,-,Webinar,NA,W,99,63,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
Introduction to International Recommendations on Refugee and IDP Statistics           ,2023,3/13/2023,4/21/2023,-,E-learn,POS,EL,161,81,5,3,2,25,48,78,,161,78%,3,1,2,29,65,61,,161,78%,,,,
Increasing engagement around data and statistics – identifying and responding to user needs ,2023,3/27/2023,4/28/2023,-,E-learn,methodology,EL,368,243,12,0,1,7,103,261,,384,95%,10,1,,31,189,153,,384,89%,,,,
Regional Training Workshop on an Accounting Approach to Climate Change Statistics and Indicators,2023,04/11/2023,4/14/2023,Chiba,Regional,Envi,F,21,7,0,0,0,1,9,9,,19,95%,0,0,0,1,9,9,,19,95%,,,,
"Sustainable Development Goal 9 (SDG 9):  Industry, Innovation and Infrastructure ",2023,4/24/2023,5/26/2023,-,E-learn,NA,EL,97,51,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
Webinars on Indicators on business performance related to well-being and sustainability,2023,4/26/2023,9/23/2023,-,Webinar,NA,W,93,50,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
Regional training for SDG4 monitoring using MICS survey data,2023,5/15/2023,5/19/2023,Daejeon,Regional,POS,F,22,7,1,1,0,1,4,15,,22,86%,1,1,1,0,4,15,,22,86%,,,,
In-depth Training on Water Accounts,2023,5/15/2023,6/23/2023,-,E-learn,Envi,EL,428,232,10,9,17,10,120,100,,266,83%,10,9,15,16,117,99,,266,81%,,,,
Statistical Literacy and Capacity Development for the Pacific,2023,5/22/2023,5/26/2023,Nadi,Subregional,methodology,F,17,13,0,0,0,2,3,12,,17,88%,0,0,0,3,6,8,,17,82%,,,,
Subregional Training on Gender Statistics for Monitoring the Sustainable Development Goals,2023,5/29/2023,06/02/2023,Seoul,Subregional,POS,F,22,15,0,0,0,0,3,16,,19,100%,0,0,0,0,3,16,,19,100%,,,,
Regional Training Workshop on the System of Environmental-Economic Accounting,2023,06/05/2023,06/08/2023,Manila,Regional,Envi,F,45,30,0,0,0,4,15,26,,45,91%,0,0,0,2,15,28,,45,96%,,,,
Regional Training on Transition to Register-based Approaches for Population and Housing Censuses,2023,06/12/2023,6/15/2023,Ankara,Regional,POS,F,34,9,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
Statistical Leadership for Heads of National Statistical Offices,2023,6/14/2023,6/16/2023,Chiba,Regional,management,F,16,5,0,0,0,0,2,11,,13,100%,0,0,0,1,1,11,,13,92%,,,,
Regional Training Course on Big Data for Sustainable Development,2023,6/19/2023,6/23/2023,Daejeon,Regional,methodology,F,17,5,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
Disaster related statistics framework (Thailand National e-Learning course),2023,6/20/2023,09/08/2023,-,Country,Country,EL,228,163,0,0,0,20,77,89,,186,89%,0,1,4,31,80,70,,186,81%,,,,
